date,channel,region,visitors,ad_spend,discount,competitor_index,revenue
2026-02-11,social,west,3130,1295,0.05,1.03,11831
2026-02-12,email,north,3160,1385,0.10,1.06,12579
2026-02-13,partner,south,3190,1475,0.15,1.09,13022
2026-02-14,search,west,3290,820,0.00,1.12,10354
2026-02-15,social,north,3320,910,0.05,0.88,11730
2026-02-16,email,south,3350,1000,0.10,0.91,12994
2026-02-17,partner,west,3380,,0.15,0.94,13777
2026-02-18,search,north,3480,1040,0.00,0.97,12099
2026-02-19,social,south,3510,1130,0.05,1.00,11867
2026-02-20,email,west,3540,1220,0.10,1.03,13470
2026-02-21,partner,north,3570,1310,0.15,1.06,14204
2026-02-22,search,south,3670,1260,0.00,1.09,12236
2026-02-23,social,west,3700,1350,0.05,1.12,13149
2026-02-24,email,north,3730,1440,0.10,0.88,15215
2026-02-25,partner,south,3760,925,0.15,0.91,14618
2026-02-26,search,west,3860,875,0.00,0.94,12185
2026-02-27,social,north,3890,965,0.05,0.97,13048
2026-02-28,email,south,3920,1055,0.10,1.00,14312
2026-03-01,partner,west,3950,1145,0.15,1.03,15095
2026-03-02,search,north,4050,1095,0.00,1.06,13417
2026-03-03,social,south,4080,1185,0.05,1.09,13990
2026-03-04,email,west,4110,1275,0.10,1.12,15594
2026-03-05,partner,north,4140,1365,0.15,0.88,16035
2026-03-06,search,south,1200,1315,0.00,0.91,5403
2026-03-07,social,west,1230,1405,0.05,0.94,6316
2026-03-08,email,north,1260,890,0.10,0.97,6829
2026-03-09,partner,south,1290,980,0.15,1.00,7272
2026-03-10,search,west,1390,930,0.00,1.03,5644
2026-03-11,social,north,1420,1020,0.05,1.06,6507
2026-03-12,email,south,1450,1110,0.10,1.09,6966
2026-03-13,partner,west,1480,1200,0.15,1.12,7749
2026-03-14,search,north,1580,1150,0.00,0.88,6584
2026-03-15,social,south,1610,1240,0.05,0.91,7157
2026-03-16,email,west,1640,1330,0.10,0.94,8761
2026-03-17,partner,north,1670,1420,0.15,0.97,9494
2026-03-18,search,south,1770,1370,0.00,1.00,7526
2026-03-19,social,west,1800,855,0.05,1.03,6594
2026-03-20,email,north,1830,945,0.10,1.06,8147
2026-03-21,partner,south,1860,1035,0.15,1.09,8590
2026-03-22,search,west,1960,985,0.00,1.12,6962
2026-03-23,social,north,1990,1075,0.05,0.88,8338
2026-03-24,email,south,2020,1165,0.10,0.91,9602
2026-03-25,partner,west,2050,1255,0.15,0.94,10385
2026-03-26,search,north,2150,1205,0.00,0.97,7902
2026-03-27,social,south,2180,1295,0.05,1.00,8475
2026-03-28,email,west,2210,1385,0.10,1.03,10079
2026-03-29,partner,north,2240,1475,0.15,1.06,10812
2026-03-30,search,south,2340,820,0.00,1.09,7803
2026-03-31,social,west,2370,910,0.05,1.12,8717
2026-04-01,email,north,2400,1000,0.10,0.88,10783
2026-04-02,partner,south,2430,1090,0.15,0.91,10421
2026-04-03,search,west,2530,1040,0.00,0.94,8793
2026-04-04,social,north,2560,1130,0.05,0.97,9657
2026-04-05,email,south,2590,1220,0.10,1.00,10920
2026-04-06,partner,west,2620,1310,0.15,1.03,11703
2026-04-07,search,north,2720,1260,0.00,1.06,10025
2026-04-08,social,south,2750,1350,0.05,1.09,10598
2026-04-09,email,west,2780,1440,0.10,1.12,11397
2026-04-10,partner,north,2810,925,0.15,0.88,11602
2026-04-11,search,south,2910,875,0.00,0.91,9634
2026-04-12,social,west,2940,965,0.05,0.94,10548
2026-04-13,email,north,2970,1055,0.10,0.97,12101
2026-04-14,partner,south,3000,1145,0.15,1.00,12544
2026-04-15,search,west,3100,1095,0.00,1.03,10916
2026-04-16,social,north,3130,1185,0.05,1.06,10975
2026-04-17,email,south,3160,1275,0.10,1.09,12238
2026-04-18,partner,west,3190,1365,0.15,1.12,13021
2026-04-19,search,north,3290,1315,0.00,0.88,11856
2026-04-20,social,south,3320,1405,0.05,0.91,12430
2026-04-21,email,west,3350,890,0.10,0.94,12992
2026-04-22,partner,north,3380,980,0.15,0.97,13726
2026-04-23,search,south,3480,930,0.00,1.00,10953
2026-04-24,social,west,3510,1020,0.05,1.03,11866
2026-04-25,email,north,3540,1110,0.10,1.06,13419
2026-04-26,partner,south,3570,1200,0.15,1.09,13862
2026-04-27,search,west,3670,1150,0.00,1.12,12234
2026-04-28,social,north,3700,1240,0.05,0.88,13611
2026-04-29,email,south,3730,1330,0.10,0.91,14874
2026-04-30,partner,west,3760,1420,0.15,0.94,14852
2026-05-01,search,north,3860,1370,0.00,0.97,13174
2026-05-02,social,south,3890,855,0.05,1.00,12707
2026-05-03,email,west,3920,945,0.10,1.03,14310
2026-05-04,partner,north,3950,1035,0.15,1.06,15044
2026-05-05,search,south,4050,985,0.00,1.09,13076
2026-05-06,social,west,4080,1075,0.05,1.12,13989
2026-05-07,email,north,4110,1165,0.10,0.88,15250
2026-05-08,partner,south,4140,1255,0.15,0.91,15694
2026-05-09,search,west,1200,1205,0.00,0.94,5402
2026-05-10,social,north,1230,1295,0.05,0.97,6265
2026-05-11,email,south,1260,1385,0.10,1.00,7528
2026-05-12,partner,west,1290,1475,0.15,1.03,8312
2026-05-13,search,north,1390,820,0.00,1.06,5593
2026-05-14,social,south,1420,910,0.05,1.09,5361
2026-05-15,email,west,1450,1000,0.10,1.12,6964
2026-05-16,partner,north,1480,1090,0.15,0.88,8211
2026-05-17,search,south,1580,1040,0.00,0.91,6243
2026-05-18,social,west,1610,1130,0.05,0.94,7156
2026-05-19,email,north,1640,1220,0.10,0.97,8709
2026-05-20,partner,south,1670,1310,0.15,1.00,9153
2026-05-21,search,west,1770,1260,0.00,1.03,6720
2026-05-22,social,north,1800,1350,0.05,1.06,7583
2026-05-23,email,south,1830,1440,0.10,1.09,8846
2026-05-24,partner,west,1860,,0.15,1.12,8589
2026-05-25,search,north,1960,875,0.00,0.88,7424
2026-05-26,social,south,1990,965,0.05,0.91,7997
2026-05-27,email,west,2020,1055,0.10,0.94,9601
2026-05-28,partner,north,2050,1145,0.15,0.97,9529
2026-05-29,search,south,2150,1095,0.00,1.00,7561
2026-05-30,social,west,2180,1185,0.05,1.03,8474
2026-05-31,email,north,2210,1275,0.10,1.06,10028
2026-06-01,partner,south,2240,1365,0.15,1.09,10471
2026-06-02,search,west,2340,1315,0.00,1.12,8843
2026-06-03,social,north,2370,1405,0.05,0.88,10219
2026-06-04,email,south,2400,890,0.10,0.91,9637
2026-06-05,partner,west,2430,980,0.15,0.94,10420
2026-06-06,search,north,2530,930,0.00,0.97,8742
2026-06-07,social,south,2560,1020,0.05,1.00,9315
2026-06-08,email,west,2590,1110,0.10,1.03,10919
2026-06-09,partner,north,2620,1200,0.15,1.06,11652
2026-06-10,search,south,2720,1150,0.00,1.09,9684
2026-06-11,social,west,2750,1240,0.05,1.12,9792
2026-06-12,email,north,2780,1330,0.10,0.88,11859
2026-06-13,partner,south,2810,1420,0.15,0.91,12302
2026-06-14,search,west,2910,1370,0.00,0.94,10674
2026-06-15,social,north,2940,855,0.05,0.97,10497
2026-06-16,email,south,2970,945,0.10,1.00,11760
2026-06-17,partner,west,3000,1035,0.15,1.03,12543
2026-06-18,search,north,3100,985,0.00,1.06,10060
2026-06-19,social,south,3130,1075,0.05,1.09,10634
2026-06-20,email,west,3160,1165,0.10,1.12,12237
2026-06-21,partner,north,3190,1255,0.15,0.88,13483
2026-06-22,search,south,3290,1205,0.00,0.91,11515
2026-06-23,social,west,3320,1295,0.05,0.94,12428
2026-06-24,email,north,3350,1385,0.10,0.97,13982
2026-06-25,partner,south,3380,1475,0.15,1.00,13620
2026-06-26,search,west,3480,820,0.00,1.03,10951
2026-06-27,social,north,3510,910,0.05,1.06,11815
2026-06-28,email,south,3540,1000,0.10,1.09,13078
2026-06-29,partner,west,3570,1090,0.15,1.12,13861
2026-06-30,search,north,3670,1040,0.00,0.88,12696
2026-07-01,social,south,3700,1130,0.05,0.91,13270
2026-07-02,email,west,3730,1220,0.10,0.94,14068
2026-07-03,partner,north,3760,1310,0.15,0.97,14801
2026-07-04,search,south,3860,1260,0.00,1.00,12833
2026-07-05,social,west,3890,1350,0.05,1.03,13746
2026-07-06,email,north,3920,1440,0.10,1.06,15300
2026-07-07,partner,south,3950,925,0.15,1.09,14702
2026-07-08,search,west,4050,875,0.00,1.12,13074
2026-07-09,social,north,4080,965,0.05,0.88,13646
2026-07-10,email,south,4110,1055,0.10,0.91,14909
2026-07-11,partner,west,4140,1145,0.15,0.94,15692
